DS,Site,Crop,Field Type,Stage,Part,Season,Richness,Shannon,Abundance,Damage,E,PH,RF,RH,T
NE,Ambewela,Strawberry,Agriculture,Mature,Bud,non-rainy,2,0.636514168,3,2.5,1942,6.49,9.5,83,23.5
NE,Ambewela,Strawberry,Agriculture,Mature,Bud,rainy,3,0.900256051,8,7,1942,6.515,10.36,91.5,22.1
NE,Ambewela,Strawberry,Agriculture,Mature,Fruit,non-rainy,3,0.934769898,11,10,1942,6.49,9.5,83,23.5
NE,Ambewela,Strawberry,Agriculture,Mature,Fruit,rainy,3,0.936603535,42,43.33333333,1942,6.515,10.36,91.5,22.1
NE,Ambewela,Strawberry,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,3,1942,6.49,9.5,83,23.5
NE,Ambewela,Strawberry,Agriculture,Mature,Leaf,rainy,3,0.936888308,9,9.666666667,1942,6.515,10.36,91.5,22.1
NE,Ambewela,Strawberry,Agriculture,Mature,Seedling,non-rainy,3,0.848685558,18,12.66666667,1942,6.49,9.5,83,23.5
NE,Ambewela,Strawberry,Agriculture,Mature,Seedling,rainy,3,0.916464886,55,54.66666667,1942,6.515,10.36,91.5,22.1
NE,Ambewela,Strawberry,Polytunnel,Mature,Bud,non-rainy,2,0.693147181,2,2,1942,6.49,9.5,83,23.5
NE,Ambewela,Strawberry,Polytunnel,Mature,Bud,rainy,3,1.011404265,6,5.666666667,1942,6.515,10.36,91.5,22.1
NE,Ambewela,Strawberry,Polytunnel,Mature,Fruit,non-rainy,3,0.918427785,12,7.333333333,1942,6.49,9.5,83,23.5
NE,Ambewela,Strawberry,Polytunnel,Mature,Fruit,rainy,3,0.899172237,27,30.66666667,1942,6.515,10.36,91.5,22.1
NE,Ambewela,Strawberry,Polytunnel,Mature,Leaf,non-rainy,2,0.693147181,2,1,1942,6.49,9.5,83,23.5
NE,Ambewela,Strawberry,Polytunnel,Mature,Leaf,rainy,3,0.950270539,5,4.666666667,1942,6.515,10.36,91.5,22.1
NE,Ambewela,Strawberry,Polytunnel,Mature,Seedling,non-rainy,2,0.679193266,12,15,1942,6.49,9.5,83,23.5
NE,Ambewela,Strawberry,Polytunnel,Mature,Seedling,rainy,3,0.892670623,37,46.33333333,1942,6.515,10.36,91.5,22.1
NE,Ardlei,Beans,Agriculture,Mature,Leaf,rainy,1,0,1,1,1379,6.79,5.4,90.6,21
NE,Ardlei,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,4,1379,6.04,3.8,81,23.8
NE,Ardlei,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.655481774,11,17.5,1379,6.79,5.4,90.6,21
NE,Ardlei,Carrot,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1379,6.04,3.8,81,23.8
NE,Ardlei,Carrot,Agriculture,Mature,Leaf,rainy,1,0,2,1,1379,6.79,5.4,90.6,21
NE,Ardlei,Leeks,Agriculture,Mature,Leaf,non-rainy,3,1.011404265,6,8.666666667,1379,6.04,3.8,81,23.8
NE,Ardlei,Leeks,Agriculture,Mature,Leaf,rainy,3,1.050571751,24,37.66666667,1379,6.79,5.4,90.6,21
NE,Ardlei,Onion,Agriculture,Mature,Leaf,non-rainy,3,1.039720771,4,0.333333333,1379,6.04,3.8,81,23.8
NE,Ardlei,Onion,Agriculture,Mature,Leaf,rainy,3,0.994923633,11,2.666666667,1379,6.79,5.4,90.6,21
NE,Ardlei,Potato,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1379,6.04,3.8,81,23.8
NE,Ardlei,Potato,Agriculture,Mature,Leaf,rainy,1,0,2,1,1379,6.79,5.4,90.6,21
NE,Blackpool,Cabbage,Polytunnel,Mature,Leaf,non-rainy,2,0.636514168,9,11.5,1844,6.37,9.5,85,24.3
NE,Blackpool,Cabbage,Polytunnel,Mature,Leaf,rainy,2,0.630086145,37,49.5,1844,6.44,10.255,86.6,22.1
NE,Blackpool,Carrot,Polytunnel,Mature,Leaf,non-rainy,1,0,1,0,1844,6.37,9.5,85,24.3
NE,Blackpool,Carrot,Polytunnel,Mature,Leaf,rainy,1,0,2,1,1844,6.44,10.255,86.6,22.1
NE,Diyagama,Cabbage,Agriculture,Mature,Leaf,non-rainy,4,1.103263499,14,8,1427,7.01,3.8,83,24.4
NE,Diyagama,Cabbage,Agriculture,Mature,Leaf,rainy,4,1.131294609,56,34.5,1427,7.35,4.465,87.45,24.2
NE,Diyagama,Cabbage,Agriculture,Mature,Root,non-rainy,1,0,1,0,1427,7.01,3.8,83,24.4
NE,Diyagama,Cabbage,Agriculture,Mature,Root,rainy,1,0,3,2,1427,7.35,4.465,87.45,24.2
NE,Diyagama,Leeks,Agriculture,Mature,Leaf,non-rainy,3,0.89820534,14,11.66666667,1427,7.01,3.8,83,24.4
NE,Diyagama,Leeks,Agriculture,Mature,Leaf,rainy,3,0.823033814,54,51,1427,7.35,4.465,87.45,24.2
NE,Diyagama,Leeks,Agriculture,Mature,Stem,non-rainy,1,0,6,1,1427,7.01,3.8,83,24.4
NE,Diyagama,Leeks,Agriculture,Mature,Stem,rainy,1,0,24,5,1427,7.35,4.465,87.45,24.2
NE,Kandapola,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,9,10,1930,7.67,4.8,90.4,20.1
NE,Kandapola,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.630086145,37,41,1930,6.88,4.965,91.55,17.6
NE,Kandapola,Carrot,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,0.5,1930,7.67,4.8,90.4,20.1
NE,Kandapola,Carrot,Agriculture,Mature,Leaf,rainy,2,0.598269589,7,2.5,1930,6.88,4.965,91.55,17.6
NE,Kandapola,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.61724177,13,15.5,1930,7.67,4.8,90.4,20.1
NE,Kandapola,Leeks,Agriculture,Mature,Leaf,rainy,2,0.610864302,50,66,1930,6.88,4.965,91.55,17.6
NE,Kandapola,Lettuce,Agriculture,Mature,Leaf,non-rainy,2,0.562335145,4,7.5,1930,7.67,4.8,90.4,20.1
NE,Kandapola,Lettuce,Agriculture,Mature,Leaf,rainy,2,0.605797499,17,31,1930,6.88,4.965,91.55,17.6
NE,Kotagala,Broccoli,Agriculture,Mature,Flower,non-rainy,1,0,1,2,1246,7.63,3.8,82.1,24.5
NE,Kotagala,Broccoli,Agriculture,Mature,Flower,rainy,1,0,3,9,1246,7.185,5.9,85.75,24.2
NE,Kotagala,Broccoli,Agriculture,Mature,Fruit,non-rainy,1,0,1,2,1246,7.63,3.8,82.1,24.5
NE,Kotagala,Broccoli,Agriculture,Mature,Fruit,rainy,1,0,2,7,1246,7.185,5.9,85.75,24.2
NE,Kotagala,Broccoli,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1246,7.63,3.8,82.1,24.5
NE,Kotagala,Broccoli,Agriculture,Mature,Leaf,rainy,1,0,3,6,1246,7.185,5.9,85.75,24.2
NE,Kotagala,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,1.039720771,4,3.666666667,1246,7.63,3.8,82.1,24.5
NE,Kotagala,Cabbage,Agriculture,Mature,Leaf,rainy,3,1.009613758,15,15.66666667,1246,7.185,5.9,85.75,24.2
NE,Kotagala,Chili,Agriculture,Mature,Leaf,non-rainy,1,0,1,10,1246,7.63,3.8,82.1,24.5
NE,Kotagala,Chili,Agriculture,Mature,Leaf,rainy,1,0,4,43,1246,7.185,5.9,85.75,24.2
NE,Kotagala,Chinese cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,1,1246,7.63,3.8,82.1,24.5
NE,Kotagala,Chinese cabbage,Agriculture,Mature,Leaf,rainy,2,0.673011667,10,4,1246,7.185,5.9,85.75,24.2
NE,Kotagala,German Turnip,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1246,7.63,3.8,82.1,24.5
NE,Kotagala,German Turnip,Agriculture,Mature,Leaf,rainy,1,0,4,3,1246,7.185,5.9,85.75,24.2
NE,Kotagala,Leeks,Agriculture,Mature,Leaf,non-rainy,3,1.039720771,4,4.333333333,1246,7.63,3.8,82.1,24.5
NE,Kotagala,Leeks,Agriculture,Mature,Leaf,rainy,3,0.992281975,14,20,1246,7.185,5.9,85.75,24.2
NE,Kotagala,Lettuce,Agriculture,Mature,Leaf,non-rainy,3,0.950270539,5,6,1246,7.63,3.8,82.1,24.5
NE,Kotagala,Lettuce,Agriculture,Mature,Leaf,rainy,3,0.878525099,19,24.66666667,1246,7.185,5.9,85.75,24.2
NE,Lindula,Beans,Agriculture,Mature,Leaf,rainy,1,0,1,2,1262,5.705,4.465,92.65,21.3
NE,Lindula,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,3.5,1262,6.17,3.8,87.4,24.4
NE,Lindula,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.610864302,10,15,1262,5.705,4.465,92.65,21.3
NE,Lindula,Carrot,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1262,6.17,3.8,87.4,24.4
NE,Lindula,Carrot,Agriculture,Mature,Leaf,rainy,1,0,2,1,1262,5.705,4.465,92.65,21.3
NE,Lindula,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.562335145,8,11.5,1262,6.17,3.8,87.4,24.4
NE,Lindula,Leeks,Agriculture,Mature,Leaf,rainy,2,0.553858229,33,49.5,1262,5.705,4.465,92.65,21.3
NE,Lindula,Lettuce,Agriculture,Mature,Leaf,non-rainy,2,0.673011667,5,10.5,1262,6.17,3.8,87.4,24.4
NE,Lindula,Lettuce,Agriculture,Mature,Leaf,rainy,2,0.67652596,22,44,1262,5.705,4.465,92.65,21.3
NE,Lindula,Strawberry,Polytunnel,Mature,Bud,non-rainy,1,0,1,3,1262,6.17,3.8,87.4,24.4
NE,Lindula,Strawberry,Polytunnel,Mature,Bud,rainy,3,1.078992208,7,6,1262,5.705,4.465,92.65,21.3
NE,Lindula,Strawberry,Polytunnel,Mature,Fruit,non-rainy,2,0.680629488,19,8.5,1262,6.17,3.8,87.4,24.4
NE,Lindula,Strawberry,Polytunnel,Mature,Fruit,rainy,3,0.948298011,30,26.33333333,1262,5.705,4.465,92.65,21.3
NE,Lindula,Strawberry,Polytunnel,Mature,Leaf,non-rainy,2,0.636514168,3,2,1262,6.17,3.8,87.4,24.4
NE,Lindula,Strawberry,Polytunnel,Mature,Leaf,rainy,3,0.900256051,8,6.666666667,1262,5.705,4.465,92.65,21.3
NE,Lindula,Strawberry,Polytunnel,Mature,Seedling,non-rainy,3,0.89820534,14,11.33333333,1262,6.17,3.8,87.4,24.4
NE,Lindula,Strawberry,Polytunnel,Mature,Seedling,rainy,3,0.929109819,46,50,1262,5.705,4.465,92.65,21.3
NE,Meepilimanna,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.682908105,7,8,1916,6.37,9.5,85,22.2
NE,Meepilimanna,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.673011667,25,35,1916,5.965,10.265,87.35,21.8
NE,Meepilimanna,Carrot,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1916,6.37,9.5,85,22.2
NE,Meepilimanna,Carrot,Agriculture,Mature,Leaf,rainy,2,0.562335145,4,2.5,1916,5.965,10.265,87.35,21.8
NE,Meepilimanna,Gherkin,Polytunnel,Mature,Leaf,non-rainy,1,0,2,3,1916,6.37,9.5,85,22.2
NE,Meepilimanna,Gherkin,Polytunnel,Mature,Leaf,rainy,2,0.376770161,8,7.5,1916,5.965,10.265,87.35,21.8
NE,Meepilimanna,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.598269589,7,11,1916,6.37,9.5,85,22.2
NE,Meepilimanna,Leeks,Agriculture,Mature,Leaf,rainy,3,0.727634526,29,34.33333333,1916,5.965,10.265,87.35,21.8
NE,Meepilimanna,Lettuce,Agriculture,Mature,Leaf,non-rainy,3,0.887694276,12,9,1916,6.37,9.5,85,22.2
NE,Meepilimanna,Lettuce,Agriculture,Mature,Leaf,rainy,3,0.799800853,45,39,1916,5.965,10.265,87.35,21.8
NE,Meepilimanna,Radish,Agriculture,Mature,Leaf,non-rainy,1,0,1,3,1916,6.37,9.5,85,22.2
NE,Meepilimanna,Radish,Agriculture,Mature,Leaf,rainy,1,0,5,11,1916,5.965,10.265,87.35,21.8
NE,Meepilimanna,Red lettuce,Agriculture,Mature,Leaf,non-rainy,2,0.673011667,5,3.5,1916,6.37,9.5,85,22.2
NE,Meepilimanna,Red lettuce,Agriculture,Mature,Leaf,rainy,2,0.668248478,18,15,1916,5.965,10.265,87.35,21.8
NE,Meepilimanna,Zucchini,Agriculture,Mature,Fruit,non-rainy,1,0,1,1,1916,6.37,9.5,85,22.2
NE,Meepilimanna,Zucchini,Agriculture,Mature,Fruit,rainy,1,0,2,3,1916,5.965,10.265,87.35,21.8
NE,Meepilimanna,Zucchini,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1916,6.37,9.5,85,22.2
NE,Meepilimanna,Zucchini,Agriculture,Mature,Leaf,rainy,1,0,5,4,1916,5.965,10.265,87.35,21.8
NE,Nanu oya,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.410116318,21,11.5,1658,6.97,11.3,78,23.4
NE,Nanu oya,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.416310141,82,49.5,1658,6.47,13.695,80.55,22.1
NE,Nanu oya,Carrot,Agriculture,Mature,Leaf,non-rainy,2,0.410116318,7,1,1658,6.97,11.3,78,23.4
NE,Nanu oya,Carrot,Agriculture,Mature,Leaf,rainy,2,0.469220348,28,4.5,1658,6.47,13.695,80.55,22.1
NE,Nanu oya,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.362210557,17,13.5,1658,6.97,11.3,78,23.4
NE,Nanu oya,Leeks,Agriculture,Mature,Leaf,rainy,2,0.304636097,66,58.5,1658,6.47,13.695,80.55,22.1
NE,Nanu oya,Lettuce,Agriculture,Mature,Leaf,non-rainy,3,0.918427785,12,8,1658,6.97,11.3,78,23.4
NE,Nanu oya,Lettuce,Agriculture,Mature,Leaf,rainy,3,0.84183345,45,35,1658,6.47,13.695,80.55,22.1
NE,Nanu oya,Onion,Agriculture,Mature,Leaf,non-rainy,2,0.450561209,6,3,1658,6.97,11.3,78,23.4
NE,Nanu oya,Onion,Agriculture,Mature,Leaf,rainy,2,0.304636097,22,13,1658,6.47,13.695,80.55,22.1
NE,Nanu oya,Radish,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1658,6.97,11.3,78,23.4
NE,Nanu oya,Radish,Agriculture,Mature,Leaf,rainy,1,0,4,6,1658,6.47,13.695,80.55,22.1
NE,Nuwara Eliya,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,0.79631164,7,4.666666667,1906,6.1,2.7,72.8,19.3
NE,Nuwara Eliya,Cabbage,Agriculture,Mature,Leaf,rainy,4,0.820054745,27,15.5,1906,6.06,5.03,80.2,17.8
NE,Nuwara Eliya,Carrot,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1906,6.1,2.7,72.8,19.3
NE,Nuwara Eliya,Carrot,Agriculture,Mature,Leaf,rainy,1,0,2,1,1906,6.06,5.03,80.2,17.8
NE,Nuwara Eliya,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.500402424,10,10.5,1906,6.1,2.7,72.8,19.3
NE,Nuwara Eliya,Leeks,Agriculture,Mature,Leaf,rainy,4,0.697990044,39,25.25,1906,6.06,5.03,80.2,17.8
NE,Nuwara Eliya,Lettuce,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,6,7,1906,6.1,2.7,72.8,19.3
NE,Nuwara Eliya,Lettuce,Agriculture,Mature,Leaf,rainy,3,0.73932133,23,23,1906,6.06,5.03,80.2,17.8
NE,Nuwara Eliya,Onion,Agriculture,Mature,Flower,non-rainy,2,0.693147181,2,2.5,1906,6.1,2.7,72.8,19.3
NE,Nuwara Eliya,Onion,Agriculture,Mature,Flower,rainy,2,0.598269589,7,10.5,1906,6.06,5.03,80.2,17.8
NE,Nuwara Eliya,Onion,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,4,1906,6.1,2.7,72.8,19.3
NE,Nuwara Eliya,Onion,Agriculture,Mature,Leaf,rainy,2,0.610864302,10,16,1906,6.06,5.03,80.2,17.8
NE,Seethaeliya,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.119246926,39,11,1912,5.73,3.2,76.1,21.5
NE,Seethaeliya,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.070054281,152,46.5,1912,6.06,3.935,80.6,16
NE,Seethaeliya,Cabbage,Agriculture,Mature,Root,non-rainy,1,0,1,1,1912,5.73,3.2,76.1,21.5
NE,Seethaeliya,Cabbage,Agriculture,Mature,Root,rainy,1,0,5,6,1912,6.06,3.935,80.6,16
NE,Seethaeliya,Carrot,Agriculture,Mature,Leaf,non-rainy,2,0.562335145,4,1,1912,5.73,3.2,76.1,21.5
NE,Seethaeliya,Carrot,Agriculture,Mature,Leaf,rainy,2,0.636514168,15,4.5,1912,6.06,3.935,80.6,16
NE,Seethaeliya,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.126930545,108,16,1912,5.73,3.2,76.1,21.5
NE,Seethaeliya,Leeks,Agriculture,Mature,Leaf,rainy,2,0.110453047,430,68,1912,6.06,3.935,80.6,16
NE,Seethaeliya,Leeks,Agriculture,Mature,Stem,non-rainy,2,0.562335145,4,2,1912,5.73,3.2,76.1,21.5
NE,Seethaeliya,Leeks,Agriculture,Mature,Stem,rainy,2,0.450561209,12,10,1912,6.06,3.935,80.6,16
NE,Seethaeliya,Radish,Agriculture,Mature,Leaf,non-rainy,2,0.562335145,4,5.5,1912,5.73,3.2,76.1,21.5
NE,Seethaeliya,Radish,Agriculture,Mature,Leaf,rainy,2,0.540204142,13,23,1912,6.06,3.935,80.6,16
NE,Talawakele,Banana pepper,Agriculture,Mature,Leaf,non-rainy,1,0,1,2,1206,6.82,3.8,83.9,22
NE,Talawakele,Banana pepper,Agriculture,Mature,Leaf,rainy,1,0,4,7,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Beans,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,0.5,1206,6.82,3.8,83.9,22
NE,Talawakele,Beans,Agriculture,Mature,Leaf,rainy,2,0.562335145,8,2,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Beans,Agriculture,Mature,Pod,non-rainy,1,0,1,0,1206,6.82,3.8,83.9,22
NE,Talawakele,Beans,Agriculture,Mature,Pod,rainy,1,0,4,1,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Bell pepper,Polytunnel,Mature,Flower,non-rainy,1,0,1,1,1206,6.82,3.8,83.9,22
NE,Talawakele,Bell pepper,Polytunnel,Mature,Flower,rainy,1,0,4,5,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Bell pepper,Polytunnel,Mature,Leaf,non-rainy,2,0.693147181,2,1.5,1206,6.82,3.8,83.9,22
NE,Talawakele,Bell pepper,Polytunnel,Mature,Leaf,rainy,2,0.673011667,5,7.5,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Cabbage,Agriculture,Mature,Leaf,non-rainy,4,1.329661349,6,2.5,1206,6.82,3.8,83.9,22
NE,Talawakele,Cabbage,Agriculture,Mature,Leaf,rainy,5,1.367964855,21,9.6,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Chinese cabbage,Agriculture,Mature,Leaf,non-rainy,3,1.039720771,4,1,1206,6.82,3.8,83.9,22
NE,Talawakele,Chinese cabbage,Agriculture,Mature,Leaf,rainy,3,1.009613758,15,5.333333333,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Lettuce,Agriculture,Mature,Leaf,non-rainy,4,1.329661349,6,4.25,1206,6.82,3.8,83.9,22
NE,Talawakele,Lettuce,Agriculture,Mature,Leaf,rainy,6,1.497726162,24,13.16666667,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Tomato,Agriculture,Mature,Flower,rainy,1,0,1,4,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Tomato,Agriculture,Mature,Fruit,rainy,1,0,1,6,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Tomato,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,3,1206,6.82,3.8,83.9,22
NE,Talawakele,Tomato,Agriculture,Mature,Leaf,rainy,2,0.673011667,10,12.5,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Zucchini,Agriculture,Mature,Fruit,non-rainy,1,0,1,1,1206,6.82,3.8,83.9,22
NE,Talawakele,Zucchini,Agriculture,Mature,Fruit,rainy,1,0,2,5,1206,7.02,8.685,88.7,20.4
NE,Talawakele,Zucchini,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1206,6.82,3.8,83.9,22
NE,Talawakele,Zucchini,Agriculture,Mature,Leaf,rainy,2,0.562335145,4,3.5,1206,7.02,8.685,88.7,20.4
NE,Waverley,Beans,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1388,5.31,3.8,83.3,24.4
NE,Waverley,Beans,Agriculture,Mature,Leaf,rainy,1,0,3,2,1388,6.425,4.4,89.6,23.2
NE,Waverley,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,6,6,1388,5.31,3.8,83.3,24.4
NE,Waverley,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.610864302,20,24,1388,6.425,4.4,89.6,23.2
NE,Waverley,Carrot,Agriculture,Mature,Leaf,rainy,1,0,1,1,1388,6.425,4.4,89.6,23.2
NE,Waverley,Leeks,Agriculture,Mature,Leaf,non-rainy,1,0,3,8,1388,5.31,3.8,83.3,24.4
NE,Waverley,Leeks,Agriculture,Mature,Leaf,rainy,1,0,12,36,1388,6.425,4.4,89.6,23.2
NE,Waverley,Leeks,Agriculture,Mature,Stem,non-rainy,1,0,1,0,1388,5.31,3.8,83.3,24.4
NE,Waverley,Leeks,Agriculture,Mature,Stem,rainy,1,0,2,1,1388,6.425,4.4,89.6,23.2
NE,Waverley,Potato,Agriculture,Mature,Leaf,rainy,1,0,1,1,1388,6.425,4.4,89.6,23.2
WP,Ambagaspitiya,Beans,Agriculture,Mature,Leaf,rainy,1,0,1,5,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,1.098612289,3,3,731,5.84,1.8,84.3,27.3
WP,Ambagaspitiya,Cabbage,Agriculture,Mature,Leaf,rainy,3,1.060856947,9,12.33333333,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Cabbage,Agriculture,Mature,Root,non-rainy,1,0,1,1,731,5.84,1.8,84.3,27.3
WP,Ambagaspitiya,Cabbage,Agriculture,Mature,Root,rainy,1,0,2,3,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Leeks,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,731,5.84,1.8,84.3,27.3
WP,Ambagaspitiya,Leeks,Agriculture,Mature,Leaf,rainy,1,0,2,6,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Leeks,Agriculture,Mature,Root,rainy,1,0,1,1,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Onion,Agriculture,Mature,Leaf,rainy,1,0,1,2,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Onion,Agriculture,Mature,Root,rainy,1,0,1,3,731,6.105,7.065,83.4,23.7
WP,Ambagaspitiya,Tomato,Agriculture,Mature,Leaf,rainy,3,1.098612289,3,4,731,6.105,7.065,83.4,23.7
WP,Keenagolla,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,4,869,6.92,3.6,76,26.3
WP,Keenagolla,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.955699891,7,11.33333333,869,6.61,4.3,87.75,22.3
WP,Keenagolla,Cabbage,Agriculture,Mature,Root,non-rainy,1,0,1,1,869,6.92,3.6,76,26.3
WP,Keenagolla,Cabbage,Agriculture,Mature,Root,rainy,1,0,2,6,869,6.61,4.3,87.75,22.3
WP,Keenagolla,Tomato,Agriculture,Mature,Fruit,rainy,1,0,1,9,869,6.61,4.3,87.75,22.3
WP,Keenagolla,Tomato,Agriculture,Mature,Leaf,rainy,2,0.693147181,2,2.5,869,6.61,4.3,87.75,22.3
WP,Kumbalgama,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,4,614,5.91,4.8,76.6,24.8
WP,Kumbalgama,Cabbage,Agriculture,Mature,Leaf,rainy,1,0,2,17,614,6.355,7.735,82.2,21
WP,Kumbalgama,Onion,Agriculture,Mature,Leaf,rainy,2,0.693147181,2,3.5,614,6.355,7.735,82.2,21
WP,Kumbalgama,Radish,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,614,5.91,4.8,76.6,24.8
WP,Kumbalgama,Radish,Agriculture,Mature,Leaf,rainy,2,0.636514168,3,4,614,6.355,7.735,82.2,21
WP,Lidesdialwatta,Banana pepper,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,0.5,1623,5.8,4.8,77.2,22.5
WP,Lidesdialwatta,Banana pepper,Agriculture,Mature,Leaf,rainy,2,0.673011667,5,3,1623,5.29,9.9,85.35,22.3
WP,Lidesdialwatta,Carrot,Agriculture,Mature,Leaf,rainy,1,0,1,1,1623,5.29,9.9,85.35,22.3
WP,Lidesdialwatta,Carrot,Agriculture,Mature,Root,rainy,2,0.693147181,2,1,1623,5.29,9.9,85.35,22.3
WP,Lidesdialwatta,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,3.5,1623,5.8,4.8,77.2,22.5
WP,Lidesdialwatta,Leeks,Agriculture,Mature,Leaf,rainy,3,0.955699891,7,11.33333333,1623,5.29,9.9,85.35,22.3
WP,Lidesdialwatta,Leeks,Agriculture,Mature,Root,non-rainy,1,0,1,0,1623,5.8,4.8,77.2,22.5
WP,Lidesdialwatta,Leeks,Agriculture,Mature,Root,rainy,2,0.562335145,4,1.5,1623,5.29,9.9,85.35,22.3
WP,Maturata,Beans,Agriculture,Mature,Leaf,non-rainy,1,0,1,2,1043,6.16,3.6,73.7,24.4
WP,Maturata,Beans,Agriculture,Mature,Leaf,rainy,1,0,2,8,1043,6.635,5.8,81.35,22.5
WP,Maturata,Beans,Agriculture,Mature,Pod,rainy,1,0,1,7,1043,6.635,5.8,81.35,22.5
WP,Maturata,Tomato,Agriculture,Mature,Fruit,rainy,1,0,1,7,1043,6.635,5.8,81.35,22.5
WP,Maturata,Tomato,Agriculture,Mature,Leaf,non-rainy,1,0,1,2,1043,6.16,3.6,73.7,24.4
WP,Maturata,Tomato,Agriculture,Mature,Leaf,rainy,1,0,3,7,1043,6.635,5.8,81.35,22.5
WP,Puswalapitiya,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,3.5,1012,5.82,3.6,87.7,23.2
WP,Puswalapitiya,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.636514168,6,16.5,1012,6.28,6.8,92.2,23.1
WP,Puswalapitiya,Cabbage,Agriculture,Mature,Root,non-rainy,2,0.693147181,2,0.5,1012,5.82,3.6,87.7,23.2
WP,Puswalapitiya,Cabbage,Agriculture,Mature,Root,rainy,2,0.673011667,5,2.5,1012,6.28,6.8,92.2,23.1
WP,Puswalapitiya,Radish,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1012,5.82,3.6,87.7,23.2
WP,Puswalapitiya,Radish,Agriculture,Mature,Leaf,rainy,2,0.636514168,3,2.5,1012,6.28,6.8,92.2,23.1
WP,Puswalapitiya,Tomato,Agriculture,Mature,Fruit,rainy,1,0,1,11,1012,6.28,6.8,92.2,23.1
WP,Puswalapitiya,Tomato,Agriculture,Mature,Leaf,rainy,1,0,1,5,1012,6.28,6.8,92.2,23.1
