DS,Site,Crop,Field Type,Stage,Part,Season,Richness,Shannon,Abundance,Damage,E,PH,RF,RH,T
AG,Maskeliya,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,1.039720771,4,4,1207,5.72,7.5,77.7,24.1
AG,Maskeliya,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.955699891,14,16.66666667,1207,5.025,7.585,81.55,24
AG,Maskeliya,Radish,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1207,5.72,7.5,77.7,24.1
AG,Maskeliya,Radish,Agriculture,Mature,Leaf,rainy,1,0,2,6,1207,5.025,7.585,81.55,24
AG,Midford,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,2.5,981,5.37,7.1,83.5,25.1
AG,Midford,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.562335145,8,10,981,5.49,8.585,89.35,23.5
AG,Nallatanniya,Banana pepper,Agriculture,Mature,Root,rainy,1,0,1,1,1234,5.395,6.885,86.65,23.8
AG,Nallatanniya,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,1.098612289,3,1.333333333,1234,5.54,6.7,83.3,24.4
AG,Nallatanniya,Cabbage,Agriculture,Mature,Leaf,rainy,4,1.236684869,12,5.25,1234,5.395,6.885,86.65,23.8
AG,Nallatanniya,Cabbage,Agriculture,Mature,Root,rainy,1,0,1,1,1234,5.395,6.885,86.65,23.8
AG,Nallatanniya,German Turnip,Agriculture,Mature,Leaf,rainy,3,1.098612289,3,2.666666667,1234,5.395,6.885,86.65,23.8
AG,Nallatanniya,German Turnip,Agriculture,Mature,Root,rainy,1,0,1,12,1234,5.395,6.885,86.65,23.8
AG,Nallatanniya,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,2.5,1234,5.54,6.7,83.3,24.4
AG,Nallatanniya,Leeks,Agriculture,Mature,Leaf,rainy,3,1.011404265,6,10.33333333,1234,5.395,6.885,86.65,23.8
AG,Nallatanniya,Leeks,Agriculture,Mature,Root,non-rainy,1,0,1,0,1234,5.54,6.7,83.3,24.4
AG,Nallatanniya,Leeks,Agriculture,Mature,Root,rainy,1,0,2,2,1234,5.395,6.885,86.65,23.8
AG,Nallatanniya,Radish,Agriculture,Mature,Leaf,rainy,2,0.693147181,2,3,1234,5.395,6.885,86.65,23.8
AG,Norwood,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,1.054920168,5,4,1256,4.71,3.8,83.2,25.1
AG,Norwood,Cabbage,Agriculture,Mature,Leaf,rainy,3,1.079529573,19,18.33333333,1256,4.795,7.235,82.15,20.5
AG,Norwood,Leeks,Agriculture,Mature,Leaf,non-rainy,3,1.039720771,4,4,1256,4.71,3.8,83.2,25.1
AG,Norwood,Leeks,Agriculture,Mature,Leaf,rainy,4,1.170997126,14,14.25,1256,4.795,7.235,82.15,20.5
AG,Rozella,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1136,5.77,5.6,77.5,24.5
AG,Rozella,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.950270539,5,6.333333333,1136,6.905,5.835,84.45,24.2
AG,Stockholm,Cabbage,Agriculture,Mature,Leaf,non-rainy,4,1.33217904,5,2.5,1308,5.37,7.2,83.5,24.8
AG,Stockholm,Cabbage,Agriculture,Mature,Leaf,rainy,4,1.270027861,15,10.25,1308,5.49,8.635,87.1,23.5
HK,Adikarigama,Beans,Agriculture,Mature,Leaf,rainy,2,0.693147181,2,3,525,7.83,4.25,88.4,22.8
HK,Adikarigama,Beans,Agriculture,Mature,Pod,non-rainy,1,0,1,2,525,7.88,1.6,81.8,27
HK,Adikarigama,Beans,Agriculture,Mature,Pod,rainy,1,0,2,9,525,7.83,4.25,88.4,22.8
HK,Adikarigama,Beans,Agriculture,Mature,Root,non-rainy,1,0,1,1,525,7.88,1.6,81.8,27
HK,Adikarigama,Beans,Agriculture,Mature,Root,rainy,1,0,2,3,525,7.83,4.25,88.4,22.8
HK,Adikarigama,Cucumber,Agriculture,Mature,Flower,rainy,1,0,1,10,525,7.83,4.25,88.4,22.8
HK,Adikarigama,Cucumber,Agriculture,Mature,Leaf,non-rainy,1,0,1,3,525,7.88,1.6,81.8,27
HK,Adikarigama,Cucumber,Agriculture,Mature,Leaf,rainy,1,0,4,15,525,7.83,4.25,88.4,22.8
HK,DaraOya,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1136,6.13,2.1,72,28.8
HK,DaraOya,Cabbage,Agriculture,Mature,Leaf,rainy,1,0,2,2,1136,5.59,2.63,73.7,23.3
HK,Elamulla,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,2,1667,6.79,12.6,80,27.4
HK,Elamulla,Cabbage,Agriculture,Mature,Leaf,rainy,3,1.039720771,4,8,1667,6.215,11.945,86.25,23.5
HK,Elamulla,Leeks,Agriculture,Mature,Leaf,rainy,2,0.693147181,2,3,1667,6.215,11.945,86.25,23.5
HK,Hanguranketha,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,5,775,5.05,1.8,94.2,24.5
HK,Hanguranketha,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.562335145,4,12.5,775,6.1,6.385,95.7,23.5
HK,Hewaheta,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,3,1135,5.12,2.1,71.2,26.2
HK,Hewaheta,Cabbage,Agriculture,Mature,Leaf,rainy,1,0,2,13,1135,5.995,2.63,80.75,22.4
HK,Hewaheta,Chili,Agriculture,Mature,Leaf,rainy,1,0,1,3,1135,5.995,2.63,80.75,22.4
HK,Mandaramnuvara,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,4.5,1143,7.25,11.5,90.6,24.2
HK,Mandaramnuvara,Cabbage,Agriculture,Mature,Leaf,rainy,5,1.311431337,13,11.6,1143,7.085,12.025,92.6,23.6
HK,Mandaramnuvara,Leeks,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,2,1143,7.25,11.5,90.6,24.2
HK,Mandaramnuvara,Leeks,Agriculture,Mature,Leaf,rainy,6,1.732867951,8,5.333333333,1143,7.085,12.025,92.6,23.6
HK,Mandaramnuvara,Lettuce,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,2,1143,7.25,11.5,90.6,24.2
HK,Mandaramnuvara,Lettuce,Agriculture,Mature,Leaf,rainy,4,1.329661349,6,5.75,1143,7.085,12.025,92.6,23.6
