AllGra,AriBis,BraSim,DerLae,DerRet,EupEmi,LeaAlt,LisFul,MacInd,MarDus,MilGag,SubOct
0,0,11,0,0,0,0,0,0,0,0,0
0,0,42,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0
0,0,1,0,0,0,0,3,0,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,1,0,0
1,0,3,0,0,0,0,4,0,2,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,0,3,0,0,0,0,1,0,0,0,0
0,0,12,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,3,0,0,0,0,1,0,1
0,0,4,0,11,0,0,0,0,2,0,4
0,0,0,0,2,0,0,0,0,1,0,0
0,0,0,0,8,0,0,0,0,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0
0,0,2,0,0,0,1,0,0,1,0,0
0,0,9,0,0,0,2,0,0,4,0,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,4,0,7,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,3,0,0,0,0,0,0,0
0,0,5,0,10,0,0,0,0,0,0,0
0,0,4,1,4,0,0,0,0,0,0,0
0,0,15,2,15,0,0,0,0,0,0,0
0,0,2,0,3,0,0,0,0,0,0,0
0,0,8,0,12,0,0,0,0,0,0,0
0,0,1,1,2,0,0,0,0,0,0,0
0,0,5,2,7,0,0,0,0,0,0,0
0,0,2,0,3,0,0,0,0,0,0,0
0,0,8,0,11,0,0,0,0,0,0,0
0,0,4,0,8,0,0,0,0,0,0,0
0,0,15,0,30,0,0,0,0,0,0,0
0,0,3,0,4,0,0,0,0,0,0,0
0,0,12,0,15,0,0,0,0,0,0,0
0,0,2,0,4,0,0,0,0,0,0,0
0,0,8,0,14,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0
0,0,3,0,5,0,0,0,0,0,0,0
0,0,2,0,2,0,0,0,0,1,0,0
0,0,6,1,9,0,0,0,0,3,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
0,0,1,0,3,0,0,0,0,1,0,0
0,0,2,0,10,0,0,0,0,3,0,0
0,0,2,0,1,0,0,0,0,0,0,0
0,0,5,1,2,0,0,0,0,0,0,0
0,0,5,1,5,0,0,0,0,0,0,0
0,0,17,4,21,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,3,1,5,0,0,0,0,0,0,0
0,0,4,2,12,0,0,0,0,0,0,0
0,0,20,5,30,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0
0,0,3,1,2,0,0,0,0,0,0,0
0,0,6,1,5,0,0,0,0,0,0,0
0,0,11,2,14,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0
0,0,1,1,3,0,0,0,0,0,0,0
0,0,5,0,7,0,0,0,0,0,0,0
0,0,13,3,21,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,4,0,7,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
0,0,2,1,3,0,0,0,0,0,0,0
0,0,8,5,11,0,0,0,0,0,0,0
0,0,1,1,2,0,0,0,0,0,0,0
0,0,3,2,6,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,6,0,0,0,0,0,0,0
0,0,12,0,25,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
0,0,6,1,6,0,0,0,0,1,0,0
0,0,22,5,25,0,0,0,0,4,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,6,0,7,0,0,0,0,1,0,0
0,0,24,0,28,0,0,0,0,2,0,0
6,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,6,0,0,0,0,0,0,0
0,0,12,0,25,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0
0,0,2,0,5,0,0,0,0,0,0,0
0,0,4,0,9,0,0,0,0,0,0,0
0,0,15,0,35,0,0,0,0,0,0,0
0,0,1,0,3,0,0,0,0,0,0,0
0,0,5,0,12,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,1,0,0
0,0,4,0,8,0,0,0,0,3,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,4,0,0,0,0,6,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0
0,0,1,1,2,0,0,0,0,0,0,0
0,0,5,2,7,0,0,0,0,0,0,0
0,0,1,1,3,0,0,0,0,0,0,0
0,0,5,2,12,0,0,0,0,0,0,0
0,0,2,1,4,0,0,0,0,0,0,0
0,0,7,3,16,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,3,0,7,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
0,0,2,0,6,0,0,0,0,0,0,0
0,0,8,0,25,0,0,0,0,0,0,0
0,0,2,0,3,0,0,0,0,0,0,0
0,0,9,0,13,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,2,3,0,0,0,0,0,0,0
0,0,11,0,8,0,0,0,0,0,0,0
0,0,13,3,14,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,2,1,5,0,0,0,0,0,0,0
0,0,7,1,6,0,0,0,0,0,0,0
0,0,15,5,26,0,0,0,0,0,0,0
0,0,3,0,4,0,0,0,0,0,0,0
0,0,10,0,15,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,1,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,1,7,0,0,0,0,0,0,0
0,0,2,0,5,0,0,0,0,0,0,0
0,0,8,1,20,0,0,0,0,0,0,0
0,0,7,1,4,0,0,0,0,0,0,0
0,0,28,2,15,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0
0,0,2,0,3,0,0,0,0,0,0,0
0,0,7,0,11,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,11,0,0,0,0,0,0,0
0,0,3,0,18,0,0,0,0,0,0,0
0,0,12,0,70,0,0,0,0,0,0,0
0,0,1,0,6,0,0,0,0,0,0,0
0,0,5,0,23,0,0,0,0,0,0,0
0,0,2,0,15,0,0,0,0,0,0,0
0,0,6,0,60,0,0,0,0,0,0,0
0,0,6,1,5,0,0,0,0,0,0,0
0,0,23,2,20,0,0,0,0,0,0,0
0,0,2,1,18,0,0,0,0,0,0,0
0,0,8,2,72,0,0,0,0,0,0,0
0,0,1,0,5,0,0,0,0,0,0,0
0,0,2,0,20,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0
0,0,1,0,5,0,0,0,0,1,0,0
0,0,2,1,20,0,0,0,0,4,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
0,0,2,0,8,0,0,0,0,0,0,0
0,0,7,1,30,0,0,0,0,1,0,0
0,0,3,1,19,0,0,0,0,0,0,0
0,0,10,2,75,0,0,0,0,0,0,0
0,0,2,0,4,0,0,0,0,0,0,0
0,0,6,1,16,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0
0,0,5,0,2,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,3,0,7,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0
0,0,1,0,38,0,0,0,0,0,0,0
0,0,2,0,150,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0
0,0,3,0,1,0,0,0,0,0,0,0
0,0,10,0,5,0,0,0,0,0,0,0
0,0,2,0,25,0,0,0,0,0,0,0
0,0,6,0,100,0,0,0,0,0,0,0
0,0,3,0,105,0,0,0,0,0,0,0
0,0,10,0,420,0,0,0,0,0,0,0
0,0,1,0,3,0,0,0,0,0,0,0
0,0,2,0,10,0,0,0,0,0,0,0
0,0,1,0,3,0,0,0,0,0,0,0
0,0,3,0,10,0,0,0,0,0,0,0
0,0,1,0,6,0,0,0,0,0,0,0
